"State"	"Customer Lifetime Value"	"Coverage"	"Education"	"EmploymentStatus"	"Gender"	"Income"	"Monthly Premium Auto"	"Months Since Last Claim"	"Months Since Policy Inception"	"Number of Open Complaints"	"Number of Policies"	"Policy Type"	"Total Claim Amount"	"Vehicle Class"	"Vehicle Size"
"1"	"Washington"	2763.519279	"Basic"	"Bachelor"	"Employed"	"F"	56274	69	32	5	0	1	"Corporate Auto"	384.811147	"Two-Door Car"	"Medsize"
"2"	"Nevada"	12887.43165	"Premium"	"Bachelor"	"Employed"	"F"	48767	108	18	38	0	2	"Personal Auto"	566.472247	"Two-Door Car"	"Medsize"
"3"	"California"	7645.861827	"Basic"	"Bachelor"	"Unemployed"	"M"	0	106	18	65	0	7	"Corporate Auto"	529.881344	"SUV"	"Medsize"
"4"	"Washington"	2813.692575	"Basic"	"Bachelor"	"Employed"	"M"	43836	73	12	44	0	1	"Personal Auto"	138.130879	"Four-Door Car"	"Medsize"
"5"	"Oregon"	8256.2978	"Basic"	"Bachelor"	"Employed"	"F"	62902	69	14	94	0	2	"Personal Auto"	159.383042	"Two-Door Car"	"Medsize"
"6"	"Oregon"	5380.898636	"Basic"	"College"	"Employed"	"F"	55350	67	0	13	0	9	"Corporate Auto"	321.6	"Four-Door Car"	"Medsize"
"7"	"Arizona"	7216.100311	"Premium"	"Master"	"Unemployed"	"M"	0	101	0	68	0	4	"Corporate Auto"	363.02968	"Four-Door Car"	"Medsize"
"8"	"Oregon"	24127.50402	"Basic"	"Bachelor"	"Medical Leave"	"M"	14072	71	13	3	0	2	"Corporate Auto"	511.2	"Four-Door Car"	"Medsize"
"9"	"Oregon"	7388.178085	"Extended"	"College"	"Employed"	"F"	28812	93	17	7	0	8	"Special Auto"	425.527834	"Four-Door Car"	"Medsize"
"10"	"California"	4738.992022	"Basic"	"College"	"Unemployed"	"M"	0	67	23	5	0	3	"Personal Auto"	482.4	"Four-Door Car"	"Small"
"11"	"California"	8197.197078	"Basic"	"College"	"Unemployed"	"F"	0	110	27	87	0	3	"Personal Auto"	528	"SUV"	"Medsize"
"12"	"California"	8798.797003	"Premium"	"Master"	"Employed"	"M"	77026	110	9	82	2	3	"Corporate Auto"	472.029737	"Four-Door Car"	"Medsize"
"13"	"Arizona"	8819.018934	"Basic"	"High School or Below"	"Employed"	"M"	99845	110	23	25	1	8	"Corporate Auto"	528	"SUV"	"Medsize"
"14"	"California"	5384.431665	"Basic"	"College"	"Employed"	"M"	83689	70	21	10	2	8	"Corporate Auto"	307.139132	"Four-Door Car"	"Medsize"
"15"	"Oregon"	7463.139377	"Basic"	"Bachelor"	"Employed"	"F"	24599	64	12	50	1	2	"Corporate Auto"	42.920271	"Four-Door Car"	"Medsize"
"16"	"Nevada"	2566.867823	"Basic"	"High School or Below"	"Medical Leave"	"M"	25049	67	14	7	0	1	"Personal Auto"	454.245098	"Two-Door Car"	"Medsize"
"17"	"California"	3945.241604	"Basic"	"College"	"Medical Leave"	"M"	28855	101	12	59	0	1	"Personal Auto"	647.442031	"SUV"	"Medsize"
"18"	"Oregon"	5710.333115	"Basic"	"College"	"Employed"	"M"	51148	72	9	1	0	7	"Personal Auto"	308.981664	"Four-Door Car"	"Medsize"
"19"	"California"	8162.617053	"Premium"	"High School or Below"	"Employed"	"F"	66140	101	11	21	0	3	"Corporate Auto"	484.8	"Four-Door Car"	"Small"
"20"	"Oregon"	2872.051273	"Basic"	"High School or Below"	"Employed"	"M"	57749	74	31	21	0	1	"Personal Auto"	355.2	"Two-Door Car"	"Medsize"
"21"	"Washington"	3041.791561	"Extended"	"Bachelor"	"Disabled"	"F"	13789	79	8	49	0	1	"Personal Auto"	379.2	"Four-Door Car"	"Medsize"
"22"	"Arizona"	24127.50402	"Basic"	"Bachelor"	"Medical Leave"	"M"	14072	71	13	3	0	2	"Personal Auto"	511.2	"Four-Door Car"	"Medsize"
"23"	"Nevada"	2450.190996	"Basic"	"Bachelor"	"Unemployed"	"F"	0	73	4	44	3	1	"Corporate Auto"	554.376763	"Four-Door Car"	"Medsize"
"24"	"California"	2392.10789	"Basic"	"Bachelor"	"Disabled"	"F"	17870	61	30	91	0	1	"Corporate Auto"	439.2	"Four-Door Car"	"Medsize"
"25"	"Oregon"	5802.065978	"Basic"	"College"	"Employed"	"M"	97541	72	22	1	0	3	"Personal Auto"	389.185006	"Four-Door Car"	"Large"
"26"	"California"	3946.372085	"Premium"	"Bachelor"	"Unemployed"	"F"	0	111	15	47	0	1	"Personal Auto"	799.2	"Four-Door Car"	"Small"
"27"	"Washington"	5346.916576	"Extended"	"Master"	"Disabled"	"F"	10511	139	33	64	0	1	"Corporate Auto"	516.237951	"SUV"	"Medsize"
"28"	"Arizona"	12902.56014	"Premium"	"College"	"Employed"	"F"	86584	111	33	54	2	2	"Personal Auto"	532.8	"Four-Door Car"	"Large"
"29"	"Oregon"	3235.360468	"Extended"	"Master"	"Employed"	"F"	75690	80	17	44	1	1	"Personal Auto"	384	"Four-Door Car"	"Small"
"30"	"Arizona"	2454.58354	"Basic"	"College"	"Employed"	"M"	23158	63	4	6	1	1	"Personal Auto"	322.294043	"Four-Door Car"	"Small"
"31"	"Nevada"	18975.45611	"Extended"	"High School or Below"	"Employed"	"M"	65999	237	1	14	0	6	"Corporate Auto"	615.927769	"Luxury SUV"	"Medsize"
"32"	"California"	4715.321344	"Basic"	"Bachelor"	"Unemployed"	"M"	0	65	19	56	0	3	"Personal Auto"	308.15089	"Four-Door Car"	"Medsize"
"33"	"Washington"	5018.885233	"Basic"	"Bachelor"	"Employed"	"M"	54500	63	28	17	0	6	"Corporate Auto"	302.4	"Two-Door Car"	"Small"
"34"	"Oregon"	4932.916345	"Basic"	"Bachelor"	"Employed"	"F"	37260	62	19	42	0	8	"Corporate Auto"	15.437681	"Four-Door Car"	"Medsize"
"35"	"Arizona"	5744.229745	"Basic"	"High School or Below"	"Employed"	"F"	68987	71	11	40	0	6	"Personal Auto"	204.475147	"Four-Door Car"	"Medsize"
